2025-08-21 15:31:10.602 [main] ERROR c.baomidou.mybatisplus.core.MybatisConfiguration - mapper[com.gig.collide.mapper.AdMapper.findRandomByAdType] is ignored, because it exists, maybe from xml file
2025-08-21 15:56:42.912 [main] ERROR c.baomidou.mybatisplus.core.MybatisConfiguration - mapper[com.gig.collide.mapper.AdMapper.findByAdType] is ignored, because it exists, maybe from xml file
2025-08-21 15:56:42.912 [main] ERROR c.baomidou.mybatisplus.core.MybatisConfiguration - mapper[com.gig.collide.mapper.AdMapper.findRandomByAdType] is ignored, because it exists, maybe from xml file
2025-08-21 16:13:36.915 [main] ERROR c.baomidou.mybatisplus.core.MybatisConfiguration - mapper[com.gig.collide.mapper.AdMapper.findByAdType] is ignored, because it exists, maybe from xml file
2025-08-21 16:13:36.915 [main] ERROR c.baomidou.mybatisplus.core.MybatisConfiguration - mapper[com.gig.collide.mapper.AdMapper.findRandomByAdType] is ignored, because it exists, maybe from xml file
2025-08-21 16:21:46.279 [main] ERROR c.baomidou.mybatisplus.core.MybatisConfiguration - mapper[com.gig.collide.mapper.AdMapper.findRandomByAdType] is ignored, because it exists, maybe from xml file
2025-08-21 16:21:46.280 [main] ERROR c.baomidou.mybatisplus.core.MybatisConfiguration - mapper[com.gig.collide.mapper.AdMapper.findByAdType] is ignored, because it exists, maybe from xml file
2025-08-21 16:39:58.925 [main] ERROR c.baomidou.mybatisplus.core.MybatisConfiguration - mapper[com.gig.collide.mapper.AdMapper.findRandomByAdType] is ignored, because it exists, maybe from xml file
2025-08-21 16:39:58.926 [main] ERROR c.baomidou.mybatisplus.core.MybatisConfiguration - mapper[com.gig.collide.mapper.AdMapper.findByAdType] is ignored, because it exists, maybe from xml file
2025-08-21 16:59:01.124 [main] ERROR c.baomidou.mybatisplus.core.MybatisConfiguration - mapper[com.gig.collide.mapper.AdMapper.findByAdType] is ignored, because it exists, maybe from xml file
2025-08-21 16:59:01.125 [main] ERROR c.baomidou.mybatisplus.core.MybatisConfiguration - mapper[com.gig.collide.mapper.AdMapper.findRandomByAdType] is ignored, because it exists, maybe from xml file
2025-08-21 17:09:52.762 [main] ERROR c.baomidou.mybatisplus.core.MybatisConfiguration - mapper[com.gig.collide.mapper.AdMapper.findByAdType] is ignored, because it exists, maybe from xml file
2025-08-21 17:09:52.762 [main] ERROR c.baomidou.mybatisplus.core.MybatisConfiguration - mapper[com.gig.collide.mapper.AdMapper.findRandomByAdType] is ignored, because it exists, maybe from xml file
2025-08-21 17:10:19.197 [main] ERROR c.baomidou.mybatisplus.core.MybatisConfiguration - mapper[com.gig.collide.mapper.AdMapper.findRandomByAdType] is ignored, because it exists, maybe from xml file
2025-08-21 17:10:19.198 [main] ERROR c.baomidou.mybatisplus.core.MybatisConfiguration - mapper[com.gig.collide.mapper.AdMapper.findByAdType] is ignored, because it exists, maybe from xml file
2025-08-21 17:16:48.068 [main] ERROR c.baomidou.mybatisplus.core.MybatisConfiguration - mapper[com.gig.collide.mapper.AdMapper.findRandomByAdType] is ignored, because it exists, maybe from xml file
2025-08-21 17:16:48.069 [main] ERROR c.baomidou.mybatisplus.core.MybatisConfiguration - mapper[com.gig.collide.mapper.AdMapper.findByAdType] is ignored, because it exists, maybe from xml file
2025-08-21 17:29:31.806 [main] ERROR c.baomidou.mybatisplus.core.MybatisConfiguration - mapper[com.gig.collide.mapper.AdMapper.findByAdType] is ignored, because it exists, maybe from xml file
2025-08-21 17:29:31.806 [main] ERROR c.baomidou.mybatisplus.core.MybatisConfiguration - mapper[com.gig.collide.mapper.AdMapper.findRandomByAdType] is ignored, because it exists, maybe from xml file
2025-08-21 17:36:30.921 [main] ERROR c.baomidou.mybatisplus.core.MybatisConfiguration - mapper[com.gig.collide.mapper.AdMapper.findRandomByAdType] is ignored, because it exists, maybe from xml file
2025-08-21 17:36:30.922 [main] ERROR c.baomidou.mybatisplus.core.MybatisConfiguration - mapper[com.gig.collide.mapper.AdMapper.findByAdType] is ignored, because it exists, maybe from xml file
2025-08-21 17:56:04.972 [main] ERROR c.baomidou.mybatisplus.core.MybatisConfiguration - mapper[com.gig.collide.mapper.AdMapper.findRandomByAdType] is ignored, because it exists, maybe from xml file
2025-08-21 17:56:04.972 [main] ERROR c.baomidou.mybatisplus.core.MybatisConfiguration - mapper[com.gig.collide.mapper.AdMapper.findByAdType] is ignored, because it exists, maybe from xml file
2025-08-21 18:01:33.978 [main] ERROR c.baomidou.mybatisplus.core.MybatisConfiguration - mapper[com.gig.collide.mapper.AdMapper.findByAdType] is ignored, because it exists, maybe from xml file
2025-08-21 18:01:33.978 [main] ERROR c.baomidou.mybatisplus.core.MybatisConfiguration - mapper[com.gig.collide.mapper.AdMapper.findRandomByAdType] is ignored, because it exists, maybe from xml file
2025-08-21 18:09:08.800 [main] ERROR c.baomidou.mybatisplus.core.MybatisConfiguration - mapper[com.gig.collide.mapper.AdMapper.findRandomByAdType] is ignored, because it exists, maybe from xml file
2025-08-21 18:09:08.800 [main] ERROR c.baomidou.mybatisplus.core.MybatisConfiguration - mapper[com.gig.collide.mapper.AdMapper.findByAdType] is ignored, because it exists, maybe from xml file
2025-08-21 18:22:35.022 [main] ERROR c.baomidou.mybatisplus.core.MybatisConfiguration - mapper[com.gig.collide.mapper.AdMapper.findByAdType] is ignored, because it exists, maybe from xml file
2025-08-21 18:22:35.022 [main] ERROR c.baomidou.mybatisplus.core.MybatisConfiguration - mapper[com.gig.collide.mapper.AdMapper.findRandomByAdType] is ignored, because it exists, maybe from xml file
2025-08-21 18:35:07.057 [main] ERROR c.baomidou.mybatisplus.core.MybatisConfiguration - mapper[com.gig.collide.mapper.AdMapper.findByAdType] is ignored, because it exists, maybe from xml file
2025-08-21 18:35:07.057 [main] ERROR c.baomidou.mybatisplus.core.MybatisConfiguration - mapper[com.gig.collide.mapper.AdMapper.findRandomByAdType] is ignored, because it exists, maybe from xml file
2025-08-21 18:50:11.793 [main] ERROR c.baomidou.mybatisplus.core.MybatisConfiguration - mapper[com.gig.collide.mapper.AdMapper.findRandomByAdType] is ignored, because it exists, maybe from xml file
2025-08-21 18:50:11.793 [main] ERROR c.baomidou.mybatisplus.core.MybatisConfiguration - mapper[com.gig.collide.mapper.AdMapper.findByAdType] is ignored, because it exists, maybe from xml file
2025-08-21 20:52:09.138 [main] ERROR c.baomidou.mybatisplus.core.MybatisConfiguration - mapper[com.gig.collide.mapper.AdMapper.findByAdType] is ignored, because it exists, maybe from xml file
2025-08-21 20:52:09.139 [main] ERROR c.baomidou.mybatisplus.core.MybatisConfiguration - mapper[com.gig.collide.mapper.AdMapper.findRandomByAdType] is ignored, because it exists, maybe from xml file
2025-08-21 21:10:57.046 [main] ERROR c.baomidou.mybatisplus.core.MybatisConfiguration - mapper[com.gig.collide.mapper.AdMapper.findRandomByAdType] is ignored, because it exists, maybe from xml file
2025-08-21 21:10:57.047 [main] ERROR c.baomidou.mybatisplus.core.MybatisConfiguration - mapper[com.gig.collide.mapper.AdMapper.findByAdType] is ignored, because it exists, maybe from xml file
2025-08-21 21:42:00.379 [main] ERROR c.baomidou.mybatisplus.core.MybatisConfiguration - mapper[com.gig.collide.mapper.AdMapper.findRandomByAdType] is ignored, because it exists, maybe from xml file
2025-08-21 21:42:00.380 [main] ERROR c.baomidou.mybatisplus.core.MybatisConfiguration - mapper[com.gig.collide.mapper.AdMapper.findByAdType] is ignored, because it exists, maybe from xml file
2025-08-21 21:57:03.045 [main] ERROR c.baomidou.mybatisplus.core.MybatisConfiguration - mapper[com.gig.collide.mapper.AdMapper.findRandomByAdType] is ignored, because it exists, maybe from xml file
2025-08-21 21:57:03.045 [main] ERROR c.baomidou.mybatisplus.core.MybatisConfiguration - mapper[com.gig.collide.mapper.AdMapper.findByAdType] is ignored, because it exists, maybe from xml file
2025-08-21 22:31:23.418 [main] ERROR c.baomidou.mybatisplus.core.MybatisConfiguration - mapper[com.gig.collide.mapper.AdMapper.findRandomByAdType] is ignored, because it exists, maybe from xml file
2025-08-21 22:31:23.419 [main] ERROR c.baomidou.mybatisplus.core.MybatisConfiguration - mapper[com.gig.collide.mapper.AdMapper.findByAdType] is ignored, because it exists, maybe from xml file
2025-08-21 22:43:10.690 [main] ERROR c.baomidou.mybatisplus.core.MybatisConfiguration - mapper[com.gig.collide.mapper.AdMapper.findByAdType] is ignored, because it exists, maybe from xml file
2025-08-21 22:43:10.691 [main] ERROR c.baomidou.mybatisplus.core.MybatisConfiguration - mapper[com.gig.collide.mapper.AdMapper.findRandomByAdType] is ignored, because it exists, maybe from xml file
2025-08-21 22:58:19.395 [main] ERROR c.baomidou.mybatisplus.core.MybatisConfiguration - mapper[com.gig.collide.mapper.AdMapper.findRandomByAdType] is ignored, because it exists, maybe from xml file
2025-08-21 22:58:19.395 [main] ERROR c.baomidou.mybatisplus.core.MybatisConfiguration - mapper[com.gig.collide.mapper.AdMapper.findByAdType] is ignored, because it exists, maybe from xml file
2025-08-21 23:05:03.543 [main] ERROR c.baomidou.mybatisplus.core.MybatisConfiguration - mapper[com.gig.collide.mapper.AdMapper.findByAdType] is ignored, because it exists, maybe from xml file
2025-08-21 23:05:03.544 [main] ERROR c.baomidou.mybatisplus.core.MybatisConfiguration - mapper[com.gig.collide.mapper.AdMapper.findRandomByAdType] is ignored, because it exists, maybe from xml file
2025-08-21 23:18:24.690 [main] ERROR c.baomidou.mybatisplus.core.MybatisConfiguration - mapper[com.gig.collide.mapper.AdMapper.findRandomByAdType] is ignored, because it exists, maybe from xml file
2025-08-21 23:18:24.690 [main] ERROR c.baomidou.mybatisplus.core.MybatisConfiguration - mapper[com.gig.collide.mapper.AdMapper.findByAdType] is ignored, because it exists, maybe from xml file
2025-08-21 23:35:09.392 [main] ERROR c.baomidou.mybatisplus.core.MybatisConfiguration - mapper[com.gig.collide.mapper.AdMapper.findByAdType] is ignored, because it exists, maybe from xml file
2025-08-21 23:35:09.393 [main] ERROR c.baomidou.mybatisplus.core.MybatisConfiguration - mapper[com.gig.collide.mapper.AdMapper.findRandomByAdType] is ignored, because it exists, maybe from xml file
2025-08-21 23:51:34.510 [main] ERROR c.baomidou.mybatisplus.core.MybatisConfiguration - mapper[com.gig.collide.mapper.AdMapper.findByAdType] is ignored, because it exists, maybe from xml file
2025-08-21 23:51:34.511 [main] ERROR c.baomidou.mybatisplus.core.MybatisConfiguration - mapper[com.gig.collide.mapper.AdMapper.findRandomByAdType] is ignored, because it exists, maybe from xml file
2025-08-21 23:57:59.947 [main] ERROR c.baomidou.mybatisplus.core.MybatisConfiguration - mapper[com.gig.collide.mapper.AdMapper.findByAdType] is ignored, because it exists, maybe from xml file
2025-08-21 23:57:59.947 [main] ERROR c.baomidou.mybatisplus.core.MybatisConfiguration - mapper[com.gig.collide.mapper.AdMapper.findRandomByAdType] is ignored, because it exists, maybe from xml file
